,artists_name,artists_id,track_name,track_id,popularity,album_name,id_album,album_type,release_date,duration
11,ISAAK,4EsPdQD7LDT8meZpX0MX4p,Always on the run,3BJ0uXKEz9fUxCbZle1rCE,55,Always on the run,61t1CVlAIr7HWUkS0KcF3K,single,2024-01-19,209562
12,Silvester Belt,2Tna85W7SvTboWMUSFilH6,Luktelk,4ZBe9Plh2adT70U4PDxve1,0,Luktelk,0IzVeFuUVSQsLj8boRMCO2,single,2024-01-11,161142
13,Olly Alexander (Years & Years),5vBSrE1xujD2FXYRarbAXc,Dizzy - Performance Version,7KYLl0n5SF4n4jqmc5MaHH,19,Dizzy (Performance Version),5HDLUqaCHGgbMnX9NRpeXe,single,2024-05-07,180504
14,Kaleen,6c2Y3AYl05QMPbLMCGag6P,We Will Rave,1QpWQMKfQ44QUN1dEg65T8,52,We Will Rave,4nNMa36op8YViMSJQXgWLl,single,2024-03-01,185066
15,Windows95Man,4iIv1KxAdDsqfwq5XjcgQm,No Rules!,4QWrK6lpr8rZ6sa8ymqMrq,49,No Rules!,3hEmkfgNvZOuCNgzmpQWK6,single,2024-01-16,175896
16,5MIINUST,6acByqWJeuaM0TX5VoY6an,(nendest) narkootikumidest ei tea me (küll) midagi,3wdfbb4qfNmPHJRn8ILMHk,47,(nendest) narkootikumidest ei tea me (küll) midagi,1Mc8irTlnfXUsSrpd2hpOj,single,2023-12-08,167125
17,Mustii,3sHtPJJi41P65J7EGRG2r1,BEFORE THE PARTY'S OVER,1A4pbfIyAuyZkIrRr4tK2X,46,BEFORE THE PARTY'S OVER,04IXV3BmIQDVJA6LlI0BLq,single,2024-02-20,179923
18,LUNA,0AZgkXW6n0zfyOhVAnIopA,The Tower,4IUMSDTVvUellFQ7RxI3kZ,45,The Tower,1tLg7dKobGBkc9O6BhjMQl,single,2024-01-23,180333
19,TALI,6v6wot3YV1QnPry6mfrCLK,Fighter - Eurovision Version,6syLoIbMRXvCEr94FMVBHh,47,Fighter (Eurovision Version),759G3cPO8KnudNnVPW7MV9,single,2024-03-29,179738
20,Silia Kapsis,3tTnh7pp782ZdZADjqPOvC,Liar,1ssBrm3EZb20Kb19roQIcy,39,Liar,5iZ22MQ93D5oS0YGxPpw4p,single,2024-03-01,178812
21,Ladaniva,6nt7tWnBx4NqnXKO6vEByU,Jako,2MiEtw8UquKvxOwu47oTMu,48,Ladaniva,1XtgrVhoVHWCqrUhx2ITDk,album,2023-09-29,145432
22,Aiko,4rNUXX8pX47dfwyD6KL2zP,Pedestal - Eurovision version,0XzSKAgVOdtMSfzYY0qtAb,40,Pedestal (Eurovision version),62eT7CL8D4jrgi1InUOPmn,single,2024-03-22,177368
23,Gåte,3YxkGgMvqCQA75aFpy6524,Ulveham,1We5Dzlzbqq0mLjBVOP7om,0,Ulveham,55SbqoLhR1YAZ99wEKNLlB,single,2024-01-05,182346
24,Teya Dora,5japL3H3OQvvJfhtsNh3eU,Ramonda,3q58lQ4ByWV5MR0VSeNer3,0,Ramonda,0EpFshvEJwsgYIdfLrsiGe,single,2024-01-22,174352
25,Raiven,5RBzgTi4eJswbWLigxtNkI,Veronika,5M2L5RqF8zRvFwPUrQ1tX6,42,Veronika,3Ep62W58uONUkDa6yphNDq,single,2024-01-20,166222
26,Dons,3DjJiiOy3bJ9JFn81mxbWS,Hollow,6lvDhgHLeC9wBOOVKGCfJi,43,Hollow,0voSkEDsdL2nmPZiX3toXG,single,2024-01-01,171817
27,SABA,2pyK1mU65l7VNGw2BZIjsW,SAND,79feeOJI7Rk8xwDdrOFsDO,41,SAND,4qvil8kYuHLOnW327paleO,single,2024-01-25,180959
28,iolanda,37VYsW0OfWchi5qpCDOv1b,Grito,1MJqdZY2srI7SVxLO6fJ1s,35,Grito,5kIN4fhsoFopjJwFSlLgkL,single,2024-04-12,176447
29,Nutsa,28BY95cMOgoVJrJK9YLS7Z,Firefighter,5Ekw4o2ecrOCBF5rGB7KXs,30,Firefighter,1uZCKKz6GFG8RXXQhRZ9vv,single,2024-03-11,183913
30,Electric Fields,06SobozDGSP0TMCYgMW0M5,One Milkali (One Blood),74mWVYv6xPilcalOxrQa5Y,38,One Milkali (One Blood),5gmCSsc0MTQaKSQNWswUao,single,2024-03-05,176883
31,Besa,6Ou6egP0Y2KxEI2yobIN3y,TiTAN,669R9eowHoeQkrbnkUalI8,36,TiTAN,1fdGNyepzrzUcpsnGfNxDI,single,2024-03-11,176707
32,Fahree,0Fkjczl8PFJL6frgE8TRpB,Özünlə Apar,6EwXG9cPjesjehN0kw30xs,38,Özünlə Apar,5hWF14gjXTOdMeoRZ8XpXv,single,2024-03-16,182090
33,Sarah Bonnici,6qOSxtFkI6TBjXcWygwvzk,Loop,3DlWvRuHXQ3iQicBauinOd,40,Loop,5hN2xd6oN8k9yLPFfBTje0,single,2024-03-14,179727
34,Megara,4vFcywn3P1b0M4xFe61e23,11:11,6XIerJ9V7H9byQFRZiqyCv,37,11:11,6II0CjU8B2JyEgWBBVvtjN,single,2024-02-15,180087
35,Natalia Barbu,6dICPcKkYBBS4lW6TdxUQr,In the Middle,5ViF3hsL0iwD7jhh5JB2Ip,34,In the Middle,560gPARoBrtx4oQhrVj6KH,single,2024-01-19,178853
36,Hera Björk,1OjcrzJpR5p38qPTskMPU5,Scared of Heights,0Vsjlru86RuL55GX5LsnF3,34,Scared of Heights,1xY1K8eiKsbZPUcSAr9epd,single,2024-02-27,183657
