,artists_name,artists_id,track_name,track_id,popularity,album_name,id_album,album_type,release_date,duration
0,Joost,6s5ubAp65wXoTZefE01RNR,Europapa,0uHrMbMv3c78398pIANDqR,65,Europapa,3v1pSXwPFLvjQWbcN1iwKS,single,2024-02-29,160218
1,Angelina Mango,1A6HBLulvBFzNtlMb7b08f,la noia,49R1F3rIdSzuPk7AcHi6d1,59,la noia,3thPAnMavUmX8gGyjOzYFI,single,2024-02-07,189124
2,Nemo,5Wg72TowYBWIcSo3K2r84N,The Code,1EjIXKhNHI00ZLMRpS8iz8,62,The Code,30euLVaktPWmngBsGDUYdA,single,2024-02-29,180141
3,Slimane,4OV6uYSnHxSYkjDYuBVBUz,Mon amour,5N7IYups0hGrlVcvj0bmHG,61,Mon amour,6FguEmDlsEN93BBiEbwsRn,single,2023-11-08,180908
4,Baby Lasagna,1ncWEkB4AQh1rxC8ObpBoH,Rim Tim Tagi Dim,5TswDbxMnxptgFTf6ZxvXQ,59,Rim Tim Tagi Dim,2avxqhpSlNfsj5yPw32L7t,single,2024-01-12,179062
5,Marcus & Martinus,3N4FiTxpPQRsrihmTMN349,Unforgettable,5L8C1PZGCpZf8STcN79H5j,55,Unforgettable,7LJDPOglV0dhqpO1DGrvob,single,2024-03-02,168845
6,alyona alyona,2ic3GGGmkixOZP4qnakSA8,Teresa & Maria,7n3Czk07KugPQOWuqCHDmF,58,Teresa & Maria,0Q3a4oVaiaVAQeq9WPz5aB,single,2024-01-11,179473
7,Nebulossa,58M2tktuW3ZTnZGTddqejF,ZORRA,4ypCNolz6aRYZPO3UOGp8Z,55,ZORRA,5DyJyPd1uYQrE0iWTkhmRf,single,2023-12-15,183577
8,Marina Satti,2W4apaxME2OLw8qqhZK7aJ,ZARI,4sDLQ5atDUHhbikD1UQ2mW,49,ZARI,1sQlfXEIFzHXutnKTGlWbz,single,2024-03-07,180979
9,Bambie Thug,6g3orasGcMPn0gwcE3JMAC,Doomsday Blue,7qiEoVlFjb3KaytT2zgK1g,54,Cathexis,70IfQDr5WnlqwK2Cb0tvco,album,2023-10-13,183741
10,Eden Golan,2eqELzJhAS2EDZayMaMHk5,Hurricane,2Ozw7k5CLtM5W9SomrOyjw,51,Hurricane,1s99Lonpnx1JtrAfCZEc9p,single,2024-03-11,178965
