Column1;artists_name;artists_id;track_name;track_id;popularity;album_name;id_album;album_type;release_date;duration
0;Joost;6s5ubAp65wXoTZefE01RNR;Europapa;0uHrMbMv3c78398pIANDqR;65;Europapa;3v1pSXwPFLvjQWbcN1iwKS;single;29/02/2024;160218
2;Nemo;5Wg72TowYBWIcSo3K2r84N;The Code;1EjIXKhNHI00ZLMRpS8iz8;62;The Code;30euLVaktPWmngBsGDUYdA;single;29/02/2024;180141
3;Slimane;4OV6uYSnHxSYkjDYuBVBUz;Mon amour;5N7IYups0hGrlVcvj0bmHG;61;Mon amour;6FguEmDlsEN93BBiEbwsRn;single;08/11/2023;180908
1;Angelina Mango;1A6HBLulvBFzNtlMb7b08f;la noia;49R1F3rIdSzuPk7AcHi6d1;59;la noia;3thPAnMavUmX8gGyjOzYFI;single;07/02/2024;189124
4;Baby Lasagna;1ncWEkB4AQh1rxC8ObpBoH;Rim Tim Tagi Dim;5TswDbxMnxptgFTf6ZxvXQ;58;Rim Tim Tagi Dim;2avxqhpSlNfsj5yPw32L7t;single;12/01/2024;179062
