Column1;artists_name;artists_id;track_name;track_id;popularity;album_name;id_album;album_type;release_date;duration
5;Duncan Laurence;3klZnJvYGIbWritVwQD434;Arcade;1Xi84slp6FryDSCbzq4UCD;71;Arcade;7BISGeB7QwhqRIadxuLHfG;single;07/03/2019;183624
19;KEiiNO;0chh7dlaUzEreDTulHiOlm;Spirit in the Sky;7B7O5jgFpWfc9orZw6FN4K;42;Spirit in the Sky;6Ct73ig0jA8JCPWCliWTHY;single;25/01/2019;185157
41;MARUV;44T03OWDUjwDgg4IYgFCWi;Siren Song;1RgSs1Jy3QHiacsnMxAAL2;37;Siren Song;1fK3kyhjoaQBDofh8Ppfjl;single;13/02/2019;171130
13;Tamta;0VGybH10ziMPo99SYOwMoQ;Replay;2UOyQB26wSQzM0jiTcUg50;36;Replay;4CfWfExyyIuTxTXd7jjmy7;single;27/02/2019;173812
2;Kate Miller-Heidke;6sfUgwUTFjy1SNF2uWOcPp;Zero Gravity;4m5FlWpaOri9OrDUj1EoTg;34;Zero Gravity;1xhssVGhM24O4A336uhpmk;single;25/01/2019;177443
