,artists_name,track_name,popularity,duration,eurovision_year
88,Jeangu Macrooy,Birth Of A New Age - Mason Remix,12,217443,Eurovision 2021
89,Hooverphonic,The Wrong Place - Hairglow French Crop Mix,17,208520,Eurovision 2021
90,Elena Tsagrinou,El Diablo - Joytide & Maarlind Remix,21,171147,Eurovision 2021
91,Gjon'S Tears,Tout L'Univers - Tiery F Remix,0,191040,Eurovision 2021
92,Senhit,Adrenalina - Steve Aoki Remix,25,190000,Eurovision 2021
93,Ana Soklič,Amen (Summer Vibes Remix),10,268500,Eurovision 2021
94,Scott Elk Artwork,Movement Iv - Dawn + Stardust,9,216013,Eurovision 2021
95,Kalush,Stefania (Kalush Orchestra),0,179714,Eurovision 2022 🇮🇹
96,Sam Ryder,Space Man - Eurovision Song Contest Edit,30,184560,Eurovision 2022 🇮🇹
97,Chanel,Slomo - Eurovision'S Dancebreak Edit,0,180000,Eurovision 2022 🇮🇹
98,Cornelia Jakobs,Hold Me Closer - Eurovision Version,39,180573,Eurovision 2022 🇮🇹
99,Konstrakta,In Corpore Sano,41,179482,Eurovision 2022 🇮🇹
100,Mahmood,Brividi,61,199146,Eurovision 2022 🇮🇹
101,Zdob Si Zdub,Trenulețul (Cu Frații Advahov) - Eurovision 2022,28,180845,Eurovision 2022 🇮🇹
102,Amanda Tenfjord,Die Together,40,175466,Eurovision 2022 🇮🇹
103,Maro,"Saudade, Saudade",50,181226,Eurovision 2022 🇮🇹
104,Subwoolfer,Give That Wolf A Banana,49,171933,Eurovision 2022 🇮🇹
105,S10,De Diepte,51,176603,Eurovision 2022 🇮🇹
106,Ochman,River,42,180201,Eurovision 2022 🇮🇹
107,Stefan,Hope,40,183902,Eurovision 2022 🇮🇹
108,Monika Liu,Sentimentai,0,180000,Eurovision 2022 🇮🇹
109,Sheldon Riley,Not The Same,40,178325,Eurovision 2022 🇮🇹
110,Nadir Rustamli,Fade To Black,37,177386,Eurovision 2022 🇮🇹
111,Marius Bear,Boys Do Cry,36,176602,Eurovision 2022 🇮🇹
112,Andrei Ursu,Llámame - Eurovision Version,32,184500,Eurovision 2022 🇮🇹
113,Jérémie Makiese,Miss You,41,173333,Eurovision 2022 🇮🇹
114,Rosa Linn,Snap,1,179551,Eurovision 2022 🇮🇹
115,The Rasmus,Jezebel,43,190863,Eurovision 2022 🇮🇹
116,We Are Domi,Lights Off - Esc Version,39,179323,Eurovision 2022 🇮🇹
117,Systur,Með Hækkandi Sól,0,180733,Eurovision 2022 🇮🇹
118,Alvan,Fulenn,32,166255,Eurovision 2022 🇮🇹
119,Malik Harris,Rockstars,50,179706,Eurovision 2022 🇮🇹
120,Mia Dimšić,Guilty Pleasure,0,181506,Eurovision 2022 🇮🇹
121,Andrea,Circles,29,180000,Eurovision 2022 🇮🇹
122,Ronela Hajati,Sekret,0,181116,Eurovision 2022 🇮🇹
123,Andromache,Ela,39,182484,Eurovision 2022 🇮🇹
124,Reddi,The Show,31,180000,Eurovision 2022 🇮🇹
125,Michael Ben David,I.M,29,163041,Eurovision 2022 🇮🇹
126,Citi Zēni,Eat Your Salad,37,181034,Eurovision 2022 🇮🇹
127,Achille Lauro,Stripper,37,173013,Eurovision 2022 🇮🇹
128,Lum!X,Halo (Feat. Pia Maria),53,159600,Eurovision 2022 🇮🇹
129,Brooke,That'S Rich,0,181813,Eurovision 2022 🇮🇹
130,Intelligent Music Project,Intention,22,178500,Eurovision 2022 🇮🇹
131,Emma Muscat,I Am What I Am,39,182196,Eurovision 2022 🇮🇹
132,Lps,Disko,35,179623,Eurovision 2022 🇮🇹
133,Vladana,Breathe,26,180674,Eurovision 2022 🇮🇹
134,Circus Mircus,Lock Me In,26,157771,Eurovision 2022 🇮🇹
135,Käärijä,Cha Cha Cha,63,175161,Eurovision 2023
136,Loreen,Tattoo,80,183374,Eurovision 2023
137,Alessandra,Queen Of Kings,67,147979,Eurovision 2023
138,Blanka,Solo,54,154710,Eurovision 2023
139,Andrew Lambrou,Break A Broken Heart,49,178506,Eurovision 2023
140,Victor,What They Say,33,179672,Eurovision 2023
141,Noa Kirel,Unicorn,51,170900,Eurovision 2023
142,Vesna,My Sister'S Crown,49,176800,Eurovision 2023
143,La Zarra,Évidemment,52,181000,Eurovision 2023
144,The Busker,Dance (Our Own Party),37,169514,Eurovision 2023
145,Turalturanx,Tell Me More,31,178750,Eurovision 2023
146,Wild Youth,We Are One - Eurovision Song Contest Edit,0,172500,Eurovision 2023
147,Remo Forrer,Watergun,49,172555,Eurovision 2023
148,Let 3,Mama Šč!,40,154888,Eurovision 2023
149,Mia Nicolai,Burning Daylight,41,184000,Eurovision 2023
150,Luke Black,Samo Mi Se Spava,42,173592,Eurovision 2023
151,Joker Out,Carpe Diem,48,165702,Eurovision 2023
152,Teya,Who The Hell Is Edgar?,50,159417,Eurovision 2023
153,Diljá,Power,37,183750,Eurovision 2023
154,Iru,Echo - Eurovision 2023 - Georgia,36,181461,Eurovision 2023
155,Voyager,Promise,43,183510,Eurovision 2023
156,Albina Kelmendi,Duje,33,182758,Eurovision 2023
157,Gustaph,Because Of You,46,179908,Eurovision 2023
158,Brunette,Future Lover,44,166019,Eurovision 2023
159,Piqued Jacks,Like An Animal,0,179773,Eurovision 2023
160,Pasha Parfeni,Soarele Si Luna,44,178800,Eurovision 2023
161,Sudden Lights,Aijā,38,180782,Eurovision 2023
162,Tvorchi,Heart Of Steel - Eurovision Version,42,158461,Eurovision 2023
163,Alika,Bridges,45,185610,Eurovision 2023
164,Mimicat,Ai Coração,39,174123,Eurovision 2023
165,Mae Muller,I Wrote A Song,0,165151,Eurovision 2023
166,Marco Mengoni,Due Vite,57,225652,Eurovision 2023
167,Monika Linkyte,Stay,37,184285,Eurovision 2023
168,Blanca Paloma,Eaea,38,179680,Eurovision 2023
169,Lord Of The Lost,Blood & Glitter,45,179100,Eurovision 2023
170,Reiley,Breaking My Heart,38,165179,Eurovision 2023
171,Theodor Andrei,D.G.T (Off And On),29,179165,Eurovision 2023
172,Joker Out,Carpe Diem - English Version,0,165816,Eurovision 2023
173,Joost,Europapa,67,160218,Eurovision 2024
174,Angelina Mango,La Noia,62,189124,Eurovision 2024
175,Nemo,The Code,65,180141,Eurovision 2024
176,Slimane,Mon Amour,64,180908,Eurovision 2024
177,Baby Lasagna,Rim Tim Tagi Dim,61,179062,Eurovision 2024
178,Marcus & Martinus,Unforgettable,58,168845,Eurovision 2024
179,Alyona Alyona,Teresa & Maria,60,179473,Eurovision 2024
180,Nebulossa,Zorra,58,183577,Eurovision 2024
181,Marina Satti,Zari,51,180979,Eurovision 2024
182,Bambie Thug,Doomsday Blue,57,183741,Eurovision 2024
183,Eden Golan,Hurricane,54,178965,Eurovision 2024
184,Isaak,Always On The Run,58,209562,Eurovision 2024
185,Silvester Belt,Luktelk,0,161142,Eurovision 2024
186,Olly Alexander (Years & Years),Dizzy - Performance Version,26,180504,Eurovision 2024
187,Kaleen,We Will Rave,55,185066,Eurovision 2024
188,Windows95Man,No Rules!,52,175896,Eurovision 2024
189,5Miinust,(Nendest) Narkootikumidest Ei Tea Me (Küll) Midagi,50,167125,Eurovision 2024
190,Mustii,Before The Party'S Over,49,179923,Eurovision 2024
191,Luna,The Tower,47,180333,Eurovision 2024
192,Tali,Fighter - Eurovision Version,50,179738,Eurovision 2024
193,Silia Kapsis,Liar,37,178812,Eurovision 2024
194,Ladaniva,Jako,50,145432,Eurovision 2024
195,Aiko,Pedestal - Eurovision Version,42,177368,Eurovision 2024
196,Gåte,Ulveham,0,182346,Eurovision 2024
197,Teya Dora,Ramonda,0,174352,Eurovision 2024
198,Raiven,Veronika,45,166222,Eurovision 2024
199,Dons,Hollow,45,171817,Eurovision 2024
200,Saba,Sand,44,180959,Eurovision 2024
201,Iolanda,Grito,39,176447,Eurovision 2024
202,Nutsa,Firefighter,27,183913,Eurovision 2024
203,Electric Fields,One Milkali (One Blood),40,176883,Eurovision 2024
204,Besa,Titan,39,176707,Eurovision 2024
205,Fahree,Özünlə Apar,40,182090,Eurovision 2024
206,Sarah Bonnici,Loop,42,179727,Eurovision 2024
207,Megara,11:11,39,180087,Eurovision 2024
208,Natalia Barbu,In The Middle,37,178853,Eurovision 2024
209,Hera Björk,Scared Of Heights,36,183657,Eurovision 2024
