,artists_name,artists_id,track_name,track_id,popularity,album_name,id_album,album_type,release_date,duration
0,Chingiz,6HCUfgQJQ5AvjxX3coDJsT,Truth - Radio Edit,1pBieHBODFbJ6hjmnummIb,0,Truth (Radio Edit),3ix6UbnG3Z5TaOpCilMvqu,single,2019-03-08,209411
1,John Lundvik,11LbPHLi2sCqOVjknt0jmW,Too Late For Love,6Jf8Y84YSdqeJfEPDJFEZu,0,Too Late For Love,3WLTXGZP6Wfqp7KiMIXTcq,single,2019-02-23,178133
2,Kate Miller-Heidke,6sfUgwUTFjy1SNF2uWOcPp,Zero Gravity,4m5FlWpaOri9OrDUj1EoTg,34,Zero Gravity,1xhssVGhM24O4A336uhpmk,single,2019-01-25,177443
3,Michela,1xoWYqTvsYArxO1Xge3TG4,Chameleon,3f2A1yImyhIh63zVioggr5,0,Chameleon,0MMT4Az20IPBq40pjYQXdI,single,2019-04-03,179698
4,Mahmood,06nvjg4wBANK6DCHjqtPNd,Soldi,2dxky69jKzbtUfA3Hl8Nuo,0,Gioventù Bruciata,6tuLjEzZX4wiuipKTRjWAj,single,2019-02-06,195476
5,Duncan Laurence,3klZnJvYGIbWritVwQD434,Arcade,1Xi84slp6FryDSCbzq4UCD,71,Arcade,7BISGeB7QwhqRIadxuLHfG,single,2019-03-07,183624
6,Lake Malawi,4UXTIkBW9t9Lcx3xtlaifs,Friend of a Friend,2U7Zc6NrWQgUWdBAIFrzdI,32,Friend of a Friend,2XrGJcQRhguqyHP8xlcNU6,single,2019-01-07,172641
7,Hatari,3yX8kCojnUAJJ1eWGZT38j,Hatrið mun sigra,1JBqLoGfH1LnGTE0wzAatU,0,Söngvakeppnin 2019,0DqSIjbsBxTtsZqibNWdDk,compilation,2019-01-27,178920
8,Katerine Duska,40tNdcLMkz7RoHcykLSNwB,Better Love,0QvJ5pNWlnMiLIxr7M6t3N,27,Better Love,4iiHbiwoyNUt3TR7ltuhf1,single,2019-03-06,181360
9,Bilal Hassani,1eoyu9uAivE7Jwak40J1MW,Roi,31fZkC34zBdY5GRB2gRcBs,19,Roi,7lUB1C4TepGaBqMdXbYxRK,single,2019-01-04,177250
10,Sergey Lazarev,69GGH3fqk8waBkpDJ5C2mK,SCREAM,3YZXQCUFSP8YffSegMm8xd,0,SCREAM,4UQlRy1Z2V8fMlu14To9Pr,single,2019-03-09,178643
11,Luca Hänni,5JbALDn35ZrLwVAle4xVqZ,She Got Me,6TNK1SFt77MvTFoiTloiFQ,0,She Got Me,49NV91ZkaohMBJdoBA16ek,single,2019-03-08,180816
12,ZENA,7HcMHvpZ3qZePzgEQA950G,Like It,6sGcFdmfVhmq09Dy1rQgAh,0,Like It,5CsBL4IKjJ5k4YEyD4GjkW,single,2019-03-26,181381
13,Tamta,0VGybH10ziMPo99SYOwMoQ,Replay,2UOyQB26wSQzM0jiTcUg50,36,Replay,4CfWfExyyIuTxTXd7jjmy7,single,2019-02-27,173812
14,S!sters,0tU5A3tDcOew6YeqCkBgEw,Sister,4AShR4usxlAsDxFAUMZMrM,19,Sister,5D79HnB1T68tuqgjT2fasn,single,2019-02-22,180000
15,Michael Rice,5QclwTG2aoAwoeBBphkegt,Bigger Than Us,1FzgkZZlbpBh75tPKso4hu,0,Bigger Than Us,2Wf6sL4vhOzkah81pQebz0,single,2019-03-08,178098
16,Leonora,6lJgqdHpRFMsxeqyrSUYMR,Love Is Forever,43k9g3vEP8z0qgkoyHjWV3,28,Love Is Forever,1AB3sBPYc2ySsavRNpUBWa,single,2019-02-01,181013
17,zalagasper,0YvFvwtv758gmIrkPoAnRO,Sebi - Dare To Dream Version,5g9mbYv5JL9AIa9lKw2EHJ,22,Sebi,4ByJLRApCFmIPniD3sL3pP,single,2019-03-15,180013
18,Serhat,1U3m2ZaxxYMDuF5AMf84bD,Say Na Na Na,1QiX3OmiJ3AyClandLJoEj,0,Say Na Na Na,7yt3Kjku3TMNuIOkit8hlU,single,2019-03-08,178930
19,KEiiNO,0chh7dlaUzEreDTulHiOlm,Spirit in the Sky,7B7O5jgFpWfc9orZw6FN4K,42,Spirit in the Sky,6Ct73ig0jA8JCPWCliWTHY,single,2019-01-25,185157
20,Tulia,6w79TLiOorVtyvGHMUrOo0,Fire Of Love (Pali Się),39eYn0el1oFv3btrhTX74G,23,Fire Of Love (Pali Się),1IbCm1ZZhSRMO0WdlyFmCO,single,2019-03-08,165846
21,Sarah McTernan,5KHDZuaKZOP6cJWRtSHWe8,22,3ZBeBPho2tpNn6vHcic9Jd,20,22,7dakU6o0pVLhFyKOpBD1JY,single,2019-03-29,173214
22,Eliot,1ckqP1gYFcLjOabZvR7o1E,Wake Up,4oQQAaU8J9A3JckIuNYCTv,0,Wake Up,2d3mpOtsCGSnnpWidMwSk1,single,2019-02-28,179400
23,Tamara Todevska,1Typw0HezT717bgUtWbH43,Proud,4L2YQw0JBuYcS8M1uQKQjC,29,Proud,0FlqZDSq4ckJ71nbjbxblk,single,2019-03-08,180000
24,Darude,0LhHRmSd1EYM5QdNeNnCoQ,Look Away,6Bo74efyPjwcWhXi7MGY6A,22,Look Away,037tlo49svQGkyX0xgkTHs,single,2019-02-21,179613
25,PAENDA,2ic8BSMWMbxMDCC52Mwxuz,Limits,3BDkDocp0pBbZFfT0aNjdA,12,Limits,7bGmMgG5Dc9tyfOl2hLL9z,single,2019-03-08,204714
26,Victor Crone,6TlWqqdj65mppNUHZVkjaq,Storm,5oFGpjPtk5R32LITfkkMLx,32,Storm,1xfOKffoQRPxvZS3omrd2p,single,2018-12-21,185625
27,Srbuk,5a2XvSPLGmmVwXNCqPj2x9,Walking Out,5ilWyRLCjLzlWwjSwPasgl,0,Walking Out,6Dx8pvgJcjqna06UtqU6mR,single,2019-03-10,176903
28,Jurijus,7sdNw5xCqLmklPwCGrM0tw,Run With the Lions,1PiZscF70USgrXYRNn9hoT,19,Run With the Lions,3FEWNX5ybnVxUCIJpLZOJ2,single,2019-04-01,180806
29,Kobi Marimi,6476rpTPwbBtEubZWNyDBR,Home,4UOObTxA2DDroKBthkiENG,0,Home,1L7fh0SOx3ZZglYEJZqm3B,single,2019-03-11,178237
30,Pápai Joci,1xYRrfmh7NjIUY6XuJhvVm,Az Én Apám - ESC Version,4Ja2w69atZTtDXlVtPtX3q,0,Az Én Apám (Eurovision Song Contest 2019),7cnFxvPkYPTdf0os9Hn6p8,single,2019-03-14,183750
31,Ester Peony,1PugRwcQ0OZCWKpwDv7qW7,On a Sunday,67gDqPeyqOo3DKICrz5Y8Y,0,On a Sunday,1IPsAkgsIkrVfIZ2qhQkOX,single,2019-03-10,184933
32,D-mol,3c0Ef1k6A6DHj47X7eqGAS,Heaven,3xiAusIKlqfnatyzEWzdtS,13,Heaven,2Ps3sFaebLEHnYazfba1XO,single,2019-03-29,174782
33,Anna Odobescu,4xW6YVYVW9cSLEpVvkggGE,Stay,78iJjN4KTvervCOGL5hZ6R,16,Stay,5GOvwOaEnvGM1xo5AdqicV,single,2019-02-01,180517
34,Carousel,2mo9OacsevHVWaU4Omj1Lh,That Night,2lXVZV4hnSlH1emXHocEUO,22,That Night,5ZeYfhAwMkOlxTAaPHJeKe,single,2019-03-22,181523
35,Jonida Maliqi,6wXgwinI0qHdXuHPPFo7qA,Ktheju Tokës - Eurovision 2019 / Albania,78v85qYw9wW4ts7s4w8eOr,0,Ktheju Tokës (Eurovision 2019 - Albania),5mp7WrgcNGaBuZhzxS6ahP,single,2019-03-15,185192
