,artists_name,artists_id,track_name,track_id,popularity,album_name,id_album,album_type,release_date,duration
0,Käärijä,6LkMGN0t3HDNL8hIvma70r,Cha Cha Cha,5RX8T3EoTuXcybAxe6oPAw,60,Cha Cha Cha,5rBqeRlrrzR77MAkbgAmS6,single,2023-01-17,175161
1,Loreen,49aaHxvAJ0tCh0F15OnwIl,Tattoo,1DmW5Ep6ywYwxc2HMT5BG6,77,Tattoo,0LRTS7FyYLppkDLOZT02Xp,single,2023-02-25,183374
2,Alessandra,35HMF6Y8dSzNfeJs3X65fw,Queen of Kings,14LdhxElpZS0rKVV4nxtdA,64,Queen of Kings,6Fkp68IAnNvIRJ8rm1MxhB,single,2023-01-09,147979
3,BLANKA,0ML3y0iBY1nq7HWAWP0EFm,Solo,3xxjYOFR1y7By2wNDS51XV,51,Solo,4zX2oy6k4NLIThxb2Qp6LZ,single,2022-09-23,154710
4,Andrew Lambrou,2LJg6YXPzGpih3QOUmyruJ,Break a Broken Heart,5dRAJ9UsR0qyMMKnonWewz,46,Break a Broken Heart,6E8mwCc1q5s5zhlY9f6xUz,single,2023-03-02,178506
5,Victor,3w03DTyLLXIUFyuKgOEJOQ,What They Say,7DYkoGwnTbEMGiNuoiB1gs,30,What They Say,3IQcnpIUTW24OfViyKiodq,single,2023-03-14,179672
6,Noa Kirel,1wak0ZG1LUrZPYx8RDTQoD,Unicorn,6dUregFbvUNqHP5nphqesK,48,Unicorn,14wVxL1PbK2bJuoGjxHrCR,single,2023-03-08,170900
7,Vesna,44kmUe319y8RNgOU2deqX6,My Sister's Crown,59md7R7fW5LjSbZITzzn3n,46,My Sister's Crown,6nF3kWl5zcDPLqEgxLTRJp,single,2023-01-30,176800
8,La Zarra,0NkmvuSD5Pm8zucjwIpChS,Évidemment,18ZX6YaDSOopXPRvfIh8DM,49,Évidemment,1V6nmlYGcUbCOfzfhofGPI,single,2023-02-19,181000
9,The Busker,3cwZMxOmqueXfvdmDKN1BR,Dance (Our Own Party),3natKRDYwMSPsLO9nX8y02,33,Dance (Our Own Party),2NtiNURKGWmmAzIxSu4gss,single,2023-03-03,169514
10,TuralTuranX,4rsNfjzhAhcUx94ERGFvgA,Tell Me More,2pXSRhFrsoG57v4tZ36ogu,28,Tell Me More,4HFwp8arNnkikpwlQp4ssP,single,2023-03-14,178750
11,Wild Youth,4wZxKygv7GA7oGYzk6bpid,We Are One - Eurovision Song Contest Edit,5AkEgrj433NMHrJvn7oASj,0,We Are One (Eurovision Song Contest Edit),2F9FwH6B1n40W0nJD5mZLa,single,2023-01-27,172500
12,Remo Forrer,7LtDT7MR8nsSZxTxcp1glk,Watergun,4ih4oGbMt9b6PbKhTPbAmw,46,Watergun,6aBXNHeyTnhy5PooV2izJT,single,2023-03-07,172555
13,Let 3,4gs82a9ZgG2faut653OMRD,Mama ŠČ!,7hcPebUUvJDRH6BhjZ5xEZ,36,Mama ŠČ!,2Z7f4V8Z7CcPPtPKXW6wbc,single,2023-01-20,154888
14,Mia Nicolai,5oSkgLWQpt5bk4B7JeAzKJ,Burning Daylight,5pjp1jN7hitQTuSlT2jOep,38,Burning Daylight,5FdecV9YIP62njz9sgfyWK,single,2023-03-01,184000
15,Luke Black,3sPiEqLcANa5kAp5RnEHNq,Samo mi se spava,7wLxoyWoClSUAlKGjaefQn,38,Samo mi se spava,2lChE0kdOhcD7p6U0e8RVc,single,2023-02-02,173592
16,Joker Out,0ZNfJyThuy6vLnPEpPaJdf,Carpe Diem,14ibwN44PVKuvEqLiaNkKu,45,Carpe Diem,0OzSTBSYgPD05WhkjurQFa,single,2023-02-04,165702
17,TEYA,3o9SkahUjtGQ6U9IU0BjhI,Who the Hell Is Edgar?,3gUC7tGDPVLOq42vvTUVdI,47,Who the Hell Is Edgar?,0Pc0YjphyuqsZbeHJq7AJ0,single,2023-03-08,159417
18,Diljá,2Zy3uwssLs81VYxqIj1Hcv,POWER,7wD30C4OrUzpj8ycl4PeSt,33,POWER,6VA3f0QiadO0atzIRCZdHw,single,2023-03-05,183750
19,Iru,5zxXqsVP2pVvJJJX9cyQ2x,Echo - Eurovision 2023 - Georgia,6Dw7BShqIiGPq69VEQ2hpd,33,Echo,64uFMoRQdpDzId1ZCKk4Qa,single,2023-03-24,181461
20,Voyager,16fltNcwTM5V9rnxIlcha4,Promise,0LeK6Ol47og0WdGwKegNUL,39,Promise,1C7B9slsGeLEDgzbrJcHkg,single,2023-02-22,183510
21,Albina Kelmendi,7fy8s6F5xxxs3sT6iq360p,Duje,2odhCHmCk14Plv4CFbEjRJ,30,Duje,0BbW8VUl5QlErG3h3OsMcf,single,2023-03-10,182758
22,Gustaph,55L5ivgJXuhhrPw3pdEph7,Because Of You,320jqrATpl9762bCQkmLDf,43,Because Of You,4Pbi89jb8k56Qh8hrwwbGu,single,2023-01-13,179908
23,Brunette,3SR6TrRumzRfsa92RkVIcG,Future Lover,3MKTciJfDAJjO0SjFZQsVx,41,Future Lover,1ILoaJqrJ2yRbb1J1ILpam,single,2023-03-17,166019
24,Piqued Jacks,5eprmPyM92CrWnnE1P840z,Like an Animal,7nHxIAj5achKMZnYNcbzfe,0,Like an Animal,4ZC0Mn6F39LpmArk28IbIo,single,2023-04-05,179773
25,Pasha Parfeni,1J9gxGgm6LhmCwTCdekIXb,Soarele si Luna,6SO3p9lb1qiPMN1e7iHAjv,41,Soarele si Luna,49qCedDRPg3yBRXtVmBYqJ,single,2023-01-19,178800
26,Sudden Lights,3hUQbGcka7Ta13TPySOZ0O,Aijā,2XhLiOVoMTWR0LNkvVEYA5,35,Aijā,6rjEzmzwPlDKSsLNr8TSCu,single,2023-01-27,180782
27,TVORCHI,0jWniZlqlLCZY3xSPwPXz5,Heart of Steel - Eurovision Version,155yInH5aDNEI1MkcX6NNk,39,Heart of Steel (Eurovision Version),0jGnnA1n6iYtDq1fOxMfgx,single,2023-03-09,158461
28,ALIKA,0k7PxyzK6aIWSzmC3522c4,Bridges,3pvzk44kwy8u46wtglCKzd,41,Bridges,0MpZN5tjvlgGGooZISXYki,single,2022-12-02,185610
29,Mimicat,7tTVBmiE9WeEDQdW3Q0Wn6,Ai Coração,2i2L1439P8JJRqp1jiKfUR,35,Festival da Canção 2023,57v1ACsenMa34vYqhuLl0d,compilation,2023-01-27,174123
30,Mae Muller,1BEUkE2CSUgHTLSBMZdnFB,I Wrote A Song,0rO1zf0e7l8s7PRjchQpyn,0,I Wrote A Song,7JTww9J0sqx8tqm872Nsnu,single,2023-03-09,165151
31,Marco Mengoni,3xGlLcG9CUrs5MvFkSLOS5,Due Vite,5htUUUBlgHZ9fztWTTDEFm,55,Due Vite,5rLrnpQAVeBYEw6tH6PUKj,single,2023-02-08,225652
32,Monika Linkyte,5MRYARxlS1hlWFYXGHMztL,Stay,6ouoSKOsxFa7wV6wMJHAOy,34,Stay,2HBUhieiceu40d9dvyJ7fY,single,2023-02-14,184285
33,Blanca Paloma,4wm4mhiGnYPzCerFg3venQ,EAEA,1NzoDUn5bLqpS36GD00Smi,35,EAEA,713ABLvroU275mKkUgr6ZJ,single,2022-12-20,179680
34,Lord Of The Lost,28eLrVsohdXynlnIzQ2VvI,Blood & Glitter,4ZAqNhkOEi32zzrY5ybilV,42,Blood & Glitter,0U6GggRIkEhLev9VoWZR5v,album,2022-12-30,179100
35,Reiley,1nHcGkMVml7a44TVwfrAN8,Breaking My Heart,0Bz7sidJkrYTnEQoYSxU0C,33,Breaking My Heart,4F56jP5yIlOGBCL8NJBizD,single,2023-01-19,165179
36,Theodor Andrei,3c0hzs6WpyGk7gLwSDCBmf,D.G.T (Off And On),3gv3bOnIkZfyBVze4qKsUK,26,D.G.T (Off And On),067iqXTIj760jEwlgBKfMy,single,2022-12-16,179165
37,Joker Out,0ZNfJyThuy6vLnPEpPaJdf,Carpe Diem - English Version,3MhZp1z04WZjhB8az8f6k4,0,Summer Is Coming!,5xq6HRpkVUgOka3a1HPq29,compilation,2023-06-01,165816
