Column1;artists_name;artists_id;track_name;track_id;popularity;album_name;id_album;album_type;release_date;duration
5;Mahmood;06nvjg4wBANK6DCHjqtPNd;Brividi;1ZMGp9MTXbtAPvcKa0U3zS;58;Brividi;06ZMpecsvvoHGWJHlc2St7;single;02/02/2022;199146
33;LUM!X;0TKFPt9w0AAEnhB9bd0pLy;Halo (feat. PIA MARIA);6WVHfpzYW3HooQaCC80opC;50;Halo (feat. PIA MARIA);3IW2pdhIz1KqoJDr6sxe24;single;11/03/2022;159600
10;S10;1zT9SWCzN45r7oVhy0VYLK;De Diepte;7uQ7e7nzbtyX87eIYHpj6Z;48;De Diepte;6XAKVt3CT7r1Zf0uiMWt7o;single;03/03/2022;176603
8;MARO;3NP4jJcW3R6qO6rbtnH0wn;saudade, saudade;4S4Amrpr631M16IIXqRk73;47;Festival Da Canção 2022;0HkpaChdLLJmEKtoxuiUEx;compilation;21/01/2022;181226
9;Subwoolfer;633Va8wlM3hrqQ4xjqRfOf;Give That Wolf A Banana;50Cf2eYv8zT3v2HAkwhIiL;46;Give That Wolf A Banana;0GPnAl0Q0GMPgFbmScP5as;single;10/01/2022;171933
