Column1;artists_name;artists_id;track_name;track_id;popularity;album_name;id_album;album_type;release_date;duration
2;Barbara Pravi;3L4wiBOSDLkJ18OISXZDA8;Voilà;1uAOCTevGnyKIDbgZdOCnE;63;Voilà;7dg4laFCDLBu0Oi2uWyafE;single;06/11/2020;176815
0;Måneskin;0lAWpj5szCSwM4rUMHYmrr;ZITTI E BUONI;1lWWoec2z1j88GRblI5anV;53;ZITTI E BUONI;3DBUrkaKptFY2JSKpfukiy;single;03/03/2021;192654
12;Efendi;4oe1qp9xGSFxMYH4X9AXtl;Mata Hari;3wuvVwA5RaifHz1uqKac8P;44;Mata Hari;2qAJL1ffzMUKu3quKRoMwi;single;15/03/2021;160980
17;Tusse;1BwDWgdDJe3TJXLZkBkpsI;Voices;5zxZ7M4RgWZUHlMEwac8vt;44;Voices;55w4D3r62g4hmMVvpnVkSV;single;27/02/2021;184000
6;THE ROOP;34G31kGbSQmemVlI0G784o;Discoteque;7dMOzsTZOUtOF7W5kLN0gf;40;Discoteque;1OfWh8e9R7tOmrX4pGlDBe;single;21/01/2021;180521
