,artists_name,track_name,popularity,playlist_followers,duration
0,Chingiz,Truth - Radio Edit,0,23694,209411
1,John Lundvik,Too Late For Love,0,23694,178133
2,Kate Miller-Heidke,Zero Gravity,34,23694,177443
3,Michela,Chameleon,0,23694,179698
4,Mahmood,Soldi,0,23694,195476
5,Duncan Laurence,Arcade,70,23694,183624
6,Lake Malawi,Friend of a Friend,31,23694,172641
7,Hatari,Hatrið mun sigra,0,23694,178920
8,Katerine Duska,Better Love,26,23694,181360
9,Bilal Hassani,Roi,18,23694,177250
10,Sergey Lazarev,SCREAM,0,23694,178643
11,Luca Hänni,She Got Me,0,23694,180816
12,ZENA,Like It,0,23694,181381
13,Tamta,Replay,36,23694,173812
14,S!sters,Sister,19,23694,180000
15,Michael Rice,Bigger Than Us,0,23694,178098
16,Leonora,Love Is Forever,28,23694,181013
17,zalagasper,Sebi - Dare To Dream Version,22,23694,180013
18,Serhat,Say Na Na Na,0,23694,178930
19,KEiiNO,Spirit in the Sky,42,23694,185157
20,Tulia,Fire Of Love (Pali Się),22,23694,165846
21,Sarah McTernan,22,20,23694,173214
22,Eliot,Wake Up,0,23694,179400
23,Tamara Todevska,Proud,28,23694,180000
24,Darude,Look Away,22,23694,179613
25,PAENDA,Limits,12,23694,204714
26,Victor Crone,Storm,31,23694,185625
27,Srbuk,Walking Out,0,23694,176903
28,Jurijus,Run With the Lions,18,23694,180806
29,Kobi Marimi,Home,0,23694,178237
30,Pápai Joci,Az Én Apám - ESC Version,0,23694,183750
31,Ester Peony,On a Sunday,0,23694,184933
32,D-mol,Heaven,12,23694,174782
33,Anna Odobescu,Stay,16,23694,180517
34,Carousel,That Night,21,23694,181523
35,Jonida Maliqi,Ktheju Tokës - Eurovision 2019 / Albania,0,23694,185192
36,Nevena Bozovic,Kruna,0,23694,187125
37,Roko Blažević,The Dream,0,23694,180074
38,Miki Núñez,La Venda - Eurovision Song Contest / Tel Aviv 2019,26,23694,179558
39,CONAN OSIRIS,TELEMOVEIS,25,23694,185688
40,Oto Nemsadze,Keep On Going,14,23694,184878
41,MARUV,Siren Song,36,23694,171130
