,artists_name,track_name,popularity,duration
0,Chingiz,Truth - Radio Edit,0,209411
1,John Lundvik,Too Late For Love,0,178133
2,Kate Miller-Heidke,Zero Gravity,34,177443
3,Michela,Chameleon,0,179698
4,Mahmood,Soldi,0,195476
5,Duncan Laurence,Arcade,70,183624
6,Lake Malawi,Friend of a Friend,31,172641
7,Hatari,Hatrið mun sigra,0,178920
8,Katerine Duska,Better Love,26,181360
9,Bilal Hassani,Roi,18,177250
10,Sergey Lazarev,SCREAM,0,178643
11,Luca Hänni,She Got Me,0,180816
12,ZENA,Like It,0,181381
13,Tamta,Replay,36,173812
14,S!sters,Sister,19,180000
15,Michael Rice,Bigger Than Us,0,178098
16,Leonora,Love Is Forever,28,181013
17,zalagasper,Sebi - Dare To Dream Version,22,180013
18,Serhat,Say Na Na Na,0,178930
19,KEiiNO,Spirit in the Sky,42,185157
20,Tulia,Fire Of Love (Pali Się),22,165846
21,Sarah McTernan,22,20,173214
22,Eliot,Wake Up,0,179400
23,Tamara Todevska,Proud,28,180000
24,Darude,Look Away,22,179613
25,PAENDA,Limits,12,204714
26,Victor Crone,Storm,31,185625
27,Srbuk,Walking Out,0,176903
28,Jurijus,Run With the Lions,18,180806
29,Kobi Marimi,Home,0,178237
30,Pápai Joci,Az Én Apám - ESC Version,0,183750
31,Ester Peony,On a Sunday,0,184933
32,D-mol,Heaven,12,174782
33,Anna Odobescu,Stay,16,180517
34,Carousel,That Night,21,181523
35,Jonida Maliqi,Ktheju Tokës - Eurovision 2019 / Albania,0,185192
36,Nevena Bozovic,Kruna,0,187125
37,Roko Blažević,The Dream,0,180074
38,Miki Núñez,La Venda - Eurovision Song Contest / Tel Aviv 2019,26,179558
39,CONAN OSIRIS,TELEMOVEIS,25,185688
40,Oto Nemsadze,Keep On Going,14,184878
41,MARUV,Siren Song,36,171130
