,artists_name,track_name,popularity,playlist_followers,duration
0,KALUSH,Stefania (Kalush Orchestra),0,10661,179714
1,Sam Ryder,SPACE MAN - Eurovision Song Contest Edit,26,10661,184560
2,Chanel,SloMo - Eurovision's Dancebreak Edit,0,10661,180000
3,Cornelia Jakobs,Hold Me Closer - Eurovision Version,35,10661,180573
4,Konstrakta,In corpore sano,37,10661,179482
5,Mahmood,Brividi,58,10661,199146
6,Zdob si Zdub,Trenulețul (cu Frații Advahov) - Eurovision 2022,24,10661,180845
7,Amanda Tenfjord,Die Together,36,10661,175466
8,MARO,"saudade, saudade",46,10661,181226
9,Subwoolfer,Give That Wolf A Banana,46,10661,171933
10,S10,De Diepte,47,10661,176603
11,Ochman,River,38,10661,180201
12,STEFAN,Hope,36,10661,183902
13,Monika LIU,Sentimentai,0,10661,180000
14,Sheldon Riley,Not The Same,37,10661,178325
15,Nadir Rustamli,Fade to black,34,10661,177386
16,Marius Bear,Boys Do Cry,32,10661,176602
17,Andrei Ursu,Llámame - Eurovision Version,29,10661,184500
18,Jérémie Makiese,Miss You,37,10661,173333
19,Rosa Linn,SNAP,0,10661,179551
20,The Rasmus,Jezebel,39,10661,190863
21,We Are Domi,Lights Off - ESC Version,35,10661,179323
22,Systur,Með hækkandi sól,0,10661,180733
23,Alvan,Fulenn,29,10661,166255
24,Malik Harris,Rockstars,46,10661,179706
25,Mia Dimšić,Guilty Pleasure,0,10661,181506
26,Andrea,Circles,26,10661,180000
27,Ronela Hajati,SEKRET,0,10661,181116
28,Andromache,Ela,36,10661,182484
29,REDDI,The Show,27,10661,180000
30,Michael Ben David,I.M,26,10661,163041
31,Citi Zēni,Eat Your Salad,33,10661,181034
32,Achille Lauro,STRIPPER,33,10661,173013
33,LUM!X,Halo (feat. PIA MARIA),49,10661,159600
34,Brooke,That's Rich,0,10661,181813
35,Intelligent Music Project,Intention,19,10661,178500
36,Emma Muscat,I Am What I Am,35,10661,182196
37,LPS,Disko,31,10661,179623
38,Vladana,Breathe,22,10661,180674
39,Circus Mircus,Lock Me In,23,10661,157771
