,artists_name,track_name,popularity,playlist_followers,duration
0,Måneskin,ZITTI E BUONI,52,32303,192654
1,Go_A,SHUM,0,32303,172675
2,Barbara Pravi,Voilà,62,32303,176815
3,Gjon's Tears,Tout l'univers,0,32303,183706
4,Daði Freyr,10 Years,0,32303,166000
5,Destiny,Je me casse - Eurovision Official Entry,13,32303,178500
6,THE ROOP,Discoteque,40,32303,180521
7,Manizha,RUSSIAN WOMAN,38,32303,176877
8,Stefania,Last Dance,36,32303,180000
9,The Black Mamba,Love Is On My Side,25,32303,175960
10,Natalia Gordienko,Sugar,34,32303,178500
11,Eden Alene,Set Me Free,36,32303,179439
12,Efendi,Mata Hari,44,32303,160980
13,Senhit,Adrenalina,35,32303,179786
14,Montaigne,Technicolour,31,32303,169273
15,Fyr Og Flamme,Øve Os På Hinanden,31,32303,186750
16,TIX,Fallen Angel,40,32303,173786
17,Tusse,Voices,44,32303,184000
18,James Newman,Embers,0,32303,175914
19,Elena Tsagrinou,El Diablo,20,32303,181546
20,Albina,Tick-Tock,31,32303,180000
21,Lesley Roy,Maps,30,32303,172122
22,Roxen,Amnesia,33,32303,174125
23,Eden Alene,Set Me Free,0,32303,174142
24,Rafał Brzozowski,The Ride,26,32303,180813
25,Samanta Tina,The Moon Is Rising - Original,25,32303,180000
26,Benny Cristo,Omaga,25,32303,179754
27,Uku Suviste,The lucky one,24,32303,182727
28,Hooverphonic,The Wrong Place,35,32303,176506
29,VICTORIA,growing up is getting old - Eurovision Version,27,32303,188170
30,Vasil Garvanliev,Here I Stand,15,32303,180500
31,Vincent Bueno,Amen,20,32303,175555
32,Jeangu Macrooy,Birth Of A New Age,27,32303,173375
33,Blas Cantó,Voy a quedarme,29,32303,182807
34,Tornike Kipiani,You,17,32303,183640
35,Hurricane,Loco Loco,0,32303,175375
36,Anxhela Peristeri,Karma,0,32303,180000
37,Anxhela Peristeri,Karma,0,32303,179200
38,Jendrik,I Don't Feel Hate,0,32303,176996
39,Ana Soklič,Amen,19,32303,184704
40,Blind Channel,Dark Side,0,32303,177789
41,Marco Dalla Villa,Maps - Marco Dalla Villa Remix,13,32303,179566
42,Daði Freyr,10 Years - Chromeo Remix,0,32303,163320
43,THE ROOP,Discoteque - Deepend Remix,16,32303,153030
44,Go_A,SHUM - Dj NANA Remix,0,32303,152741
45,Albina,Tick-Tock - Stefy De Cicco Remix,12,32303,161250
46,Jeangu Macrooy,Birth Of A New Age - Mason Remix,9,32303,217443
47,Hooverphonic,The Wrong Place - Hairglow French Crop Mix,14,32303,208520
48,Elena Tsagrinou,El Diablo - Joytide & Maarlind Remix,17,32303,171147
49,Gjon's Tears,Tout l'univers - Tiery F Remix,0,32303,191040
50,Senhit,Adrenalina - Steve Aoki Remix,21,32303,190000
51,Ana Soklič,Amen (Summer Vibes Remix),8,32303,268500
52,Scott Elk Artwork,Movement IV - Dawn + Stardust,6,32303,216013
