,artists_name,track_name,popularity,playlist_followers,duration
0,Käärijä,Cha Cha Cha,59,21526,175161
1,Loreen,Tattoo,76,21526,183374
2,Alessandra,Queen of Kings,64,21526,147979
3,BLANKA,Solo,50,21526,154710
4,Andrew Lambrou,Break a Broken Heart,45,21526,178506
5,Victor,What They Say,29,21526,179672
6,Noa Kirel,Unicorn,47,21526,170900
7,Vesna,My Sister's Crown,45,21526,176800
8,La Zarra,Évidemment,49,21526,181000
9,The Busker,Dance (Our Own Party),33,21526,169514
10,TuralTuranX,Tell Me More,28,21526,178750
11,Wild Youth,We Are One - Eurovision Song Contest Edit,0,21526,172500
12,Remo Forrer,Watergun,45,21526,172555
13,Let 3,Mama ŠČ!,36,21526,154888
14,Mia Nicolai,Burning Daylight,37,21526,184000
15,Luke Black,Samo mi se spava,38,21526,173592
16,Joker Out,Carpe Diem,44,21526,165702
17,TEYA,Who the Hell Is Edgar?,46,21526,159417
18,Diljá,POWER,33,21526,183750
19,Iru,Echo - Eurovision 2023 - Georgia,33,21526,181461
20,Voyager,Promise,39,21526,183510
21,Albina Kelmendi,Duje,30,21526,182758
22,Gustaph,Because Of You,42,21526,179908
23,Brunette,Future Lover,40,21526,166019
24,Piqued Jacks,Like an Animal,0,21526,179773
25,Pasha Parfeni,Soarele si Luna,40,21526,178800
26,Sudden Lights,Aijā,34,21526,180782
27,TVORCHI,Heart of Steel - Eurovision Version,39,21526,158461
28,ALIKA,Bridges,41,21526,185610
29,Mimicat,Ai Coração,35,21526,174123
30,Mae Muller,I Wrote A Song,0,21526,165151
31,Marco Mengoni,Due Vite,54,21526,225652
32,Monika Linkyte,Stay,34,21526,184285
33,Blanca Paloma,EAEA,34,21526,179680
34,Lord Of The Lost,Blood & Glitter,41,21526,179100
35,Reiley,Breaking My Heart,34,21526,165179
36,Theodor Andrei,D.G.T (Off And On),25,21526,179165
37,Joker Out,Carpe Diem - English Version,0,21526,165816
