,artists_name,track_name,popularity,duration
0,Joost,Europapa,64,160218
1,Angelina Mango,la noia,58,189124
2,Nemo,The Code,61,180141
3,Slimane,Mon amour,60,180908
4,Baby Lasagna,Rim Tim Tagi Dim,58,179062
5,Marcus & Martinus,Unforgettable,54,168845
6,alyona alyona,Teresa & Maria,57,179473
7,Nebulossa,ZORRA,54,183577
8,Marina Satti,ZARI,48,180979
9,Bambie Thug,Doomsday Blue,54,183741
10,Eden Golan,Hurricane,50,178965
11,ISAAK,Always on the run,54,209562
12,Silvester Belt,Luktelk,0,161142
13,Olly Alexander (Years & Years),Dizzy - Performance Version,20,180504
14,Kaleen,We Will Rave,51,185066
15,Windows95Man,No Rules!,48,175896
16,5MIINUST,(nendest) narkootikumidest ei tea me (küll) midagi,46,167125
17,Mustii,BEFORE THE PARTY'S OVER,45,179923
18,LUNA,The Tower,44,180333
19,TALI,Fighter - Eurovision Version,46,179738
20,Silia Kapsis,Liar,36,178812
21,Ladaniva,Jako,47,145432
22,Aiko,Pedestal - Eurovision version,39,177368
23,Gåte,Ulveham,0,182346
24,Teya Dora,Ramonda,0,174352
25,Raiven,Veronika,41,166222
26,Dons,Hollow,42,171817
27,SABA,SAND,41,180959
28,iolanda,Grito,35,176447
29,Nutsa,Firefighter,26,183913
30,Electric Fields,One Milkali (One Blood),37,176883
31,Besa,TiTAN,35,176707
32,Fahree,Özünlə Apar,37,182090
33,Sarah Bonnici,Loop,39,179727
34,Megara,11:11,36,180087
35,Natalia Barbu,In the Middle,33,178853
36,Hera Björk,Scared of Heights,33,183657
