,artists_name,track_name,popularity,duration
0,KALUSH,Stefania (Kalush Orchestra),0,179714
1,Sam Ryder,SPACE MAN - Eurovision Song Contest Edit,26,184560
2,Chanel,SloMo - Eurovision's Dancebreak Edit,0,180000
3,Cornelia Jakobs,Hold Me Closer - Eurovision Version,35,180573
4,Konstrakta,In corpore sano,37,179482
5,Mahmood,Brividi,58,199146
6,Zdob si Zdub,Trenulețul (cu Frații Advahov) - Eurovision 2022,24,180845
7,Amanda Tenfjord,Die Together,36,175466
8,MARO,"saudade, saudade",46,181226
9,Subwoolfer,Give That Wolf A Banana,46,171933
10,S10,De Diepte,47,176603
11,Ochman,River,38,180201
12,STEFAN,Hope,36,183902
13,Monika LIU,Sentimentai,0,180000
14,Sheldon Riley,Not The Same,37,178325
15,Nadir Rustamli,Fade to black,34,177386
16,Marius Bear,Boys Do Cry,32,176602
17,Andrei Ursu,Llámame - Eurovision Version,29,184500
18,Jérémie Makiese,Miss You,37,173333
19,Rosa Linn,SNAP,0,179551
20,The Rasmus,Jezebel,39,190863
21,We Are Domi,Lights Off - ESC Version,35,179323
22,Systur,Með hækkandi sól,0,180733
23,Alvan,Fulenn,29,166255
24,Malik Harris,Rockstars,46,179706
25,Mia Dimšić,Guilty Pleasure,0,181506
26,Andrea,Circles,26,180000
27,Ronela Hajati,SEKRET,0,181116
28,Andromache,Ela,36,182484
29,REDDI,The Show,27,180000
30,Michael Ben David,I.M,26,163041
31,Citi Zēni,Eat Your Salad,33,181034
32,Achille Lauro,STRIPPER,33,173013
33,LUM!X,Halo (feat. PIA MARIA),49,159600
34,Brooke,That's Rich,0,181813
35,Intelligent Music Project,Intention,19,178500
36,Emma Muscat,I Am What I Am,35,182196
37,LPS,Disko,31,179623
38,Vladana,Breathe,22,180674
39,Circus Mircus,Lock Me In,23,157771
