,Artist,Track,Spotify_Duration,Spotify_EurovisionYear,Spotify_Popularity
123,Andromache,Ela,182484,Eurovision 2022 🇮🇹,40
124,Reddi,The Show,180000,Eurovision 2022 🇮🇹,31
125,Michael Ben David,I.M,163041,Eurovision 2022 🇮🇹,30
126,Citi Zēni,Eat Your Salad,181034,Eurovision 2022 🇮🇹,37
127,Achille Lauro,Stripper,173013,Eurovision 2022 🇮🇹,37
128,Lum!X,Halo (Feat. Pia Maria),159600,Eurovision 2022 🇮🇹,53
129,Brooke,That'S Rich,181813,Eurovision 2022 🇮🇹,0
130,Intelligent Music Project,Intention,178500,Eurovision 2022 🇮🇹,23
131,Emma Muscat,I Am What I Am,182196,Eurovision 2022 🇮🇹,39
132,Lps,Disko,179623,Eurovision 2022 🇮🇹,35
133,Vladana,Breathe,180674,Eurovision 2022 🇮🇹,26
134,Circus Mircus,Lock Me In,157771,Eurovision 2022 🇮🇹,27
135,Käärijä,Cha Cha Cha,175161,Eurovision 2023,63
136,Loreen,Tattoo,183374,Eurovision 2023,80
137,Alessandra,Queen Of Kings,147979,Eurovision 2023,68
138,Blanka,Solo,154710,Eurovision 2023,54
139,Andrew Lambrou,Break A Broken Heart,178506,Eurovision 2023,49
140,Victor,What They Say,179672,Eurovision 2023,33
141,Noa Kirel,Unicorn,170900,Eurovision 2023,51
142,Vesna,My Sister'S Crown,176800,Eurovision 2023,50
143,La Zarra,Évidemment,181000,Eurovision 2023,53
144,The Busker,Dance (Our Own Party),169514,Eurovision 2023,37
145,Turalturanx,Tell Me More,178750,Eurovision 2023,32
146,Wild Youth,We Are One - Eurovision Song Contest Edit,172500,Eurovision 2023,0
147,Remo Forrer,Watergun,172555,Eurovision 2023,49
148,Let 3,Mama Šč!,154888,Eurovision 2023,40
149,Mia Nicolai,Burning Daylight,184000,Eurovision 2023,41
150,Luke Black,Samo Mi Se Spava,173592,Eurovision 2023,42
151,Joker Out,Carpe Diem,165702,Eurovision 2023,48
152,Teya,Who The Hell Is Edgar?,159417,Eurovision 2023,51
153,Diljá,Power,183750,Eurovision 2023,37
154,Iru,Echo - Eurovision 2023 - Georgia,181461,Eurovision 2023,37
155,Voyager,Promise,183510,Eurovision 2023,43
156,Albina Kelmendi,Duje,182758,Eurovision 2023,34
157,Gustaph,Because Of You,179908,Eurovision 2023,46
158,Brunette,Future Lover,166019,Eurovision 2023,44
159,Piqued Jacks,Like An Animal,179773,Eurovision 2023,0
160,Pasha Parfeni,Soarele Si Luna,178800,Eurovision 2023,45
161,Sudden Lights,Aijā,180782,Eurovision 2023,38
162,Tvorchi,Heart Of Steel - Eurovision Version,158461,Eurovision 2023,43
163,Alika,Bridges,185610,Eurovision 2023,45
164,Mimicat,Ai Coração,174123,Eurovision 2023,39
165,Mae Muller,I Wrote A Song,165151,Eurovision 2023,0
166,Marco Mengoni,Due Vite,225652,Eurovision 2023,57
167,Monika Linkyte,Stay,184285,Eurovision 2023,38
168,Blanca Paloma,Eaea,179680,Eurovision 2023,38
169,Lord Of The Lost,Blood & Glitter,179100,Eurovision 2023,45
170,Reiley,Breaking My Heart,165179,Eurovision 2023,38
171,Theodor Andrei,D.G.T (Off And On),179165,Eurovision 2023,29
172,Joker Out,Carpe Diem - English Version,165816,Eurovision 2023,0
173,Joost,Europapa,160218,Eurovision 2024,68
174,Angelina Mango,La Noia,189124,Eurovision 2024,62
175,Nemo,The Code,180141,Eurovision 2024,65
176,Slimane,Mon Amour,180908,Eurovision 2024,64
177,Baby Lasagna,Rim Tim Tagi Dim,179062,Eurovision 2024,61
178,Marcus & Martinus,Unforgettable,168845,Eurovision 2024,58
179,Alyona Alyona,Teresa & Maria,179473,Eurovision 2024,61
180,Nebulossa,Zorra,183577,Eurovision 2024,58
181,Marina Satti,Zari,180979,Eurovision 2024,52
182,Bambie Thug,Doomsday Blue,183741,Eurovision 2024,57
183,Eden Golan,Hurricane,178965,Eurovision 2024,54
184,Isaak,Always On The Run,209562,Eurovision 2024,58
185,Silvester Belt,Luktelk,161142,Eurovision 2024,0
186,Olly Alexander (Years & Years),Dizzy - Performance Version,180504,Eurovision 2024,28
187,Kaleen,We Will Rave,185066,Eurovision 2024,55
188,Windows95Man,No Rules!,175896,Eurovision 2024,52
189,5Miinust,(Nendest) Narkootikumidest Ei Tea Me (Küll) Midagi,167125,Eurovision 2024,50
190,Mustii,Before The Party'S Over,179923,Eurovision 2024,49
191,Luna,The Tower,180333,Eurovision 2024,47
192,Tali,Fighter - Eurovision Version,179738,Eurovision 2024,50
193,Silia Kapsis,Liar,178812,Eurovision 2024,36
194,Ladaniva,Jako,145432,Eurovision 2024,50
195,Aiko,Pedestal - Eurovision Version,177368,Eurovision 2024,43
196,Gåte,Ulveham,182346,Eurovision 2024,0
197,Teya Dora,Ramonda,174352,Eurovision 2024,0
198,Raiven,Veronika,166222,Eurovision 2024,45
199,Dons,Hollow,171817,Eurovision 2024,45
200,Saba,Sand,180959,Eurovision 2024,45
201,Iolanda,Grito,176447,Eurovision 2024,40
202,Nutsa,Firefighter,183913,Eurovision 2024,26
203,Electric Fields,One Milkali (One Blood),176883,Eurovision 2024,40
204,Besa,Titan,176707,Eurovision 2024,39
205,Fahree,Özünlə Apar,182090,Eurovision 2024,40
206,Sarah Bonnici,Loop,179727,Eurovision 2024,42
207,Megara,11:11,180087,Eurovision 2024,39
208,Natalia Barbu,In The Middle,178853,Eurovision 2024,37
209,Hera Björk,Scared Of Heights,183657,Eurovision 2024,36
